Job Title,Hourly Rate
911 Emerg Comm Anly,55.239999999999995
911 Emerg Comm Dispatcher I,37.7
911 Emerg Comm Dispatcher II,45.04
911 Emerg Comm Dispatcher III,50.39
911 Emerg Comm Dispatcher Supv,61.02
AMH Syst Op,29.175
AMH Syst Op Lead,34.5
Accountant,44.47
Accountant *,38.79
"Accountant,Prin",58.37
"Accountant,Prin BU",58.37
"Accountant,Sr",50.12
"Accountant,Sr *",44.61
"Accountant,Sr BU",51.94
Accounting Ops Supervisor,47.41
Accounting Specialist,39.555
Act Exec,60.83
Actg Tech I-BU,33.24
Actg Tech II,35.9
Actg Tech II-BU,35.9
Actg Tech II-BU *,32.06
Actg Tech III,39.47
Actg Tech III-BU,39.47
Actg Tech III-BU *,35.18
Actg Tech Supv-BU,42.48
Admin Spec I,31.635
Admin Spec I-BU,34.63
Admin Spec I-BU *,31.07
Admin Spec II,34.63
Admin Spec II *,31.64
Admin Spec II-BU,37.4
Admin Spec II-BU *,33.4
Admin Spec III,38.79
Admin Spec III BU-P,33.150000000000006
Admin Spec III-BU,40.3
Admin Spec III-BU *,35.89
"Admin Spec,Sr-Library",42.55
Admin Specialist-Library,38.86
Admin Staff Anlyst,51.22
Admin Staff Anlyst *,43.97
Admin Staff Anlyst BU,51.22
Admin Staff Asst,44.83
Admin Staff Asst BU,44.83
Admin Support Supv-BU,42.63
Adms Employee,32.15
Adms Personnel Dispatcher,35.89
Animal Contrl Ofcr I,35.02
Animal Contrl Ofcr I *,33.84
Animal Contrl Ofcr II,50.01
Animal Contrl Ofcr Supv,47.705
"Appraiser,Sr",61.95
Apprenticeship Coord-BU,42.92
Aquatic Cntr Coord,47.73
"Aquatic Cntr Coord,Asst",43.34
Aquatics Techl Supv,45.71
Aquatics Techl Supv*,43.98
Arboriculturist,48.07
Arborist,61.989999999999995
"Architect,Sr",73.97
Arts Conserv Tech,41.49
Arts Prgm Spec BU,43.1
"Arts Prgm Spec,Sr",51.22
Arts Prgm Supv,56.42
"Asphalt Paving CC,Asst",45.86
Asphalt Raker,38.34
"Asphalt Raker,Sr",41.29
Asst Dir-Public Svcs,75.42
Asst Mnging Librn,60.41
Asst To The General Mgr&CEO,65.52
AsstDirPublcSvcs-EqtyLrng&Egmt,75.15
Audio/Video Tech&Events Asst,34.425
Auto Body Wkr/Pntr,45.41
"Auto Engr,Sr",57.51
Auto Maint CC,60.32
Auto Mechanic,51.56
Auto Mechanic *,44.11
Auto Mechanic - Spec,53.12
Auto Mechanic Pre-Aprn*,27.07
"Auto Mechanic,Sr",54.19
"Auto Mechanic-Spec,Sr",51.59
Auto Sheet Metal Wkr,45.83
Beach&Pool Mgr *,26.56
Benefits Asst,35.69
Bldg Engr-Libr,42.27
"Bldg Inspector,Journey",55.535
"Bldg Inspector,Sr(Expert)",58.85
"Bldg Inspector,Strucl",61.02
Bldg Maint Supp Lead,48.96
Bldg Maint Wkr,39.11
Bldg Plans Examiner Supv,69.26
Bldg Plans Examiner(E)-BU,53.46
"Bldg Plans Examiner,Sr -BU",64.76
Bldg Plans Examiner-BU,60.63
Bldg/Facilities Opns Supv-BU,42.32
Bridge Carpentry&Maint Lead,47.44
Bridge Elecl Maint Supv,60.0
Bridge Maint General Supv,49.04
Bridge Maint Mech Hlpr,36.03
Bridge Maint Mechanic,56.52
"Bridge Maint Mechanic,Sr",58.735
Bridge Op,38.58
Bridge Op *,35.77
"Bridge Op,Sr",40.72
Buyer,49.32
"Buyer,Sr",52.2
"Buyer,Sr-Library",56.39
Camp Svc Aide,27.02
"Camp Svc Aide,Sr",28.69
Capital Impr Prjt Coord,50.55
Capital Impr Prjt Mgr,62.44
Capital Plng&Strat Ints Mgr,75.23
Capital Prjts Coord,60.71
Capital Prjts Coord Supv,72.05
"Capital Prjts Coord,Asst",51.94
"Capital Prjts Coord,Chief",72.05
"Capital Prjts Coord,Sr",69.48
"Capital Prjts Coord,Sr *",61.99
Carpenter,47.44
Carpenter Aprn,43.17
Carpenter CC,54.44
"Carpenter,Sr",49.46
Cashier *,24.98
Cblspl Aprn,48.88
Cblspl CC-Asg C Coord,69.6
Cblspl CC-Asg Locator,69.6
Cblspl CC-Net Area,69.6
Cblspl-Asg Locator,61.86
Cblspl-Jrnywkr In Chg,65.17
Cblspl-Net Area,61.86
Cement Finisher,39.86
"Cement Finisher,Sr",42.17
Cement Finisher-Parks Facils,42.74
City Light General Mgr&CEO,236.484
City Records Mgmt Anlyst BU-P,46.68
Civil Engr Supv,83.72
"Civil Engr,Assoc",64.5
"Civil Engr,Asst I",47.68
"Civil Engr,Asst I *",47.68
"Civil Engr,Asst II",51.485
"Civil Engr,Asst III",54.57
"Civil Engr,Sr",77.67
"Civil Engr,Sr *",66.7
Civil Engrng Spec Supv,67.46
"Civil Engrng Spec,Assoc",57.3
"Civil Engrng Spec,Assoc *",49.22
"Civil Engrng Spec,Asst I",39.64
"Civil Engrng Spec,Asst I *",38.89
"Civil Engrng Spec,Asst II",46.26
"Civil Engrng Spec,Asst III",49.305
"Civil Engrng Spec,Sr",64.43
Civil Rights Anlyst,51.67
"Civil Rights Anlyst,Sr",56.905
Civil Svc Commissioner,5.53
Claims Adjuster-FAS,51.22
Code Compliance Anlyst,53.19
"Code Dev Anlyst,Sr",57.51
Com Dev Spec,49.32
"Com Dev Spec,Sr",56.39
Com Garden Coord,45.7
Com Prtnshps&GovRltnsPrgm Mgr,64.6
Com Svc Ofcr,45.18
Com Svc Ofcr Supv,51.64
Commercial Veh Enf Ofcr,45.46
Comms Elctn CC,62.59
Comms Elctn II,55.63
Comms Elctn Jnywrk-In Chg-Skt,58.58
Comms Spec,56.58
Community Crisis Responder I,41.52
Community Crisis Responder II,53.19
Complaint Investigator,44.83
Comty Resources Spec,44.61
"Comty Resources Spec, Sr",46.74
Conserv Policy Anlyst,58.65
Constr&Maint Equip Op,38.83
"Constr&Maint Equip Op,Sr",40.79
Constr&Repair CC,47.09
Consv Fish Hatchery Ops,37.82
Consv Fish Hatchery Sup,53.19
Contract Anlyst,41.54
"Contract Anlyst,Sr",48.435
Contract Employee *,78.732
Contracts&Concss Asst,44.56
Contrl Tech,48.33
Cook,35.34
Cooperative Intern *,20.94
Cooperative Intern-W/S *,20.94
Coordinating Library Tech,38.33
Councilmember - At Large,69.26
Councilmember - District,79.53
Counslr,45.92
Counslr *,37.07
"Counslr,Sr",48.7
Credit&Colls Supv-BU,49.39
Crime Prev Coord,50.05
Cust Svc Rep,33.47
Cust Svc Rep *,31.06
Cust Svc Rep Supv,43.46
"Cust Svc Rep,Sr",36.12
Custdl/Janitorial Support Supv,43.94
Custodian,31.04
Data Engineer-Libr,62.59
Delivery Drvr/Drvr I,31.76
Delivery Drvr/Drvr II,34.5
Delivery Wkr,30.13
Designer,34.65
Dev Fin Spec,48.44
Dev Fin Spec I,46.71
"Dev Fin Spec,Sr",50.2
Dining Room Attendant,27.02
"Dining Room Attendant,Sr",30.81
"Dir, Admin Svcs",98.1
"Dir, Employee Relations",94.17
"Dir, Public Svcs",91.09
"Dir,Instl&Strat Advan",94.23
Disposal Crew Chief,51.22
Dispute Resolution Mediator,51.2
Div Opns Mgr,57.68
Drainage&Wstwtr Coll CC,56.75
Drainage&Wstwtr Coll Lead Wkr,45.68
Drainage&Wstwtr Coll Wkr,42.58
Drainage&Wstwtr Coll Wkr Aprn,34.82
Drainage&Wstwtr Coll Wkr CI,43.44
Drainage&Wstwtr Lead Wkr CII,47.48
Early Ed Spec,46.71
"Early Ed Spec,Sr BU",52.2
Economist,55.115
"Economist,Prin",69.03
"Economist,Prin *",61.72
"Economist,Sr",59.535
Ed Prgm Supv,47.515
Elctn,56.34
Elctn CC,61.75
Elctn Tech Aprn,34.9
"Elctn,Sr",57.74
"Elctn,Sr *",57.74
Elctn-Con,61.86
